"Table B-8: U.S. MD-Granting Medical School MD-PhD Applications and Matriculants 
by School, In-State Status, and Gender, Academic Year 2025-2026",,,,,,,,,,,
,,,,,,,,,,,
"The table below displays the numbers of U.S. MD-Granting medical school MD-PhD applications and MD-PhD matriculants by school, in-state status, and gender in 2025-2026. Please email datarequest@aamc.org if you need further assistance or have additional inquiries.",,,,,,,,,,,
,,,,,,,,,,,
"MD-PhD Applications 
and Matriculants
by School",,Applications1,Applications,,,,Matriculants,Matriculants,,,
,,,by In-State Status,,by Gender2,,,by In-State Status,,by Gender2,
,,,In State,Out of State,Men,Women,,In State,Out of State,Men,Women
,,,%,%,%,%,,%,%,%,%
State,Medical School,,,,,,,,,,
AL,Alabama-Heersink,300,3.7,96.3,51.0,48.0,11,0.0,100.0,36.4,54.5
,South Alabama-Whiddon,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
AR,Arkansas,59,6.8,93.2,45.8,54.2,1,100.0,0.0,100.0,0.0
,Walton,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
AZ,Arizona,224,6.7,93.3,47.3,50.4,8,25.0,75.0,25.0,75.0
,Arizona Phoenix,84,10.7,89.3,39.3,59.5,4,50.0,50.0,75.0,25.0
CA,California,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
,California Northstate,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
,Drew,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
,Kaiser Permanente-Tyson,173,50.9,49.1,49.7,47.4,2,50.0,50.0,50.0,50.0
,Loma Linda,78,51.3,48.7,41.0,57.7,2,50.0,50.0,0.0,100.0
,Southern Cal-Keck,472,44.3,55.7,50.0,47.7,4,100.0,0.0,25.0,75.0
,Stanford,830,27.7,72.3,51.8,46.0,14,50.0,50.0,57.1,42.9
,UC Davis,334,47.0,53.0,42.2,56.0,5,40.0,60.0,0.0,80.0
,UC Irvine,446,50.4,49.6,48.9,48.9,7,71.4,28.6,28.6,71.4
,UC Riverside,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
,UC San Diego,696,34.2,65.8,49.9,47.6,6,33.3,66.7,33.3,66.7
,UC San Francisco,772,32.1,67.9,50.6,47.0,13,61.5,38.5,38.5,61.5
,UCLA-Geffen,737,32.8,67.2,49.4,48.2,18,72.2,27.8,38.9,61.1
CO,Colorado,474,5.5,94.5,49.6,47.5,11,18.2,81.8,36.4,63.6
CT,Connecticut,311,7.7,92.3,46.3,52.4,6,0.0,100.0,66.7,33.3
